단지코드,단지명
C2483,포항장량휴먼시아1단지
C2515,미수휴먼시아
C1407,도안 휴먼시아 4단지
C1945,호평마을 주공휴먼시아
C1470,장신휴먼시아1단지
C1898,장신휴먼시아2단지
C1244,백현마을 3단지
C1171,LH대전노은3지구4단지
C2073,횡성휴먼시아
C2513,광주백운 휴먼시아3단지
C1936,광주백운 휴먼시아2단지
C2049,강릉교동 주공2차아파트
C2202,강릉송정주공아파트
C2576,거제장평 주공3단지아파트
C1312,석문국가산단 2단지
C2650,기장교리 주공아파트
C2100,느리울마을아파트 13단지
C1032,천동휴먼시아1단지
C1077,밀양삼문휴먼시아아파트
C1497,부산금곡 주공7단지
C1672,부산만덕3
C1613,율리마을 주공아파트
C2216,부여쌍북2단지
C2481,울산교동주공아파트
C1718,화봉휴먼시아2단지
C1655,원주문막주공아파트
C1430,정관신도시휴먼시아1단지
C1519,제주으뜸마을
C2221,제주화북 주공3단지
C1866,창녕주공아파트
C1005,백석주공그린빌3차
C2401,철암주공아파트
C1175,공주월송 A3BL
C1175,홍성남장2 주공아파트
C1833,제주삼화 휴먼시아1단지
C2445,강저휴먼시아3단지
C1885,여수죽림휴먼시아1단지
C2368,여수죽림휴먼시아2차
C2016,음성맹동휴먼시아
C2371,고령다산휴먼시아 3단지
C2536,순창풍산 휴먼시아
C2538,부천범박 휴먼시아1단지
C1014,남원금동2 휴먼시아
C1592,원주무실 주공8단지
C1867,사천용현휴먼시아아파트
C2326,진천벽암 휴먼시아
C1015,부산지사휴먼시아
C1620,첨단휴먼시아1단지
C1049,첨단휴먼시아2단지
C2000,양산금산휴먼시아
C2097,구미옥계 휴먼시아2단지
C1668,무안성내휴먼시아
C1689,광교마을 41단지
C1234,원주개운LH2단지아파트
C1234,강릉회산주공아파트
C2514,거창소만 주공아파트
C1368,경산사동 휴먼시아 1단지
C1057,경산사동 휴먼시아 2단지
C2336,경산진량휴먼시아
C1026,고령다산주공1차아파트
C2256,고성동외 주공아파트
C1900,고창읍내 휴먼시아
C2666,고촌휴먼시아1단지
C2361,광명소하 휴먼시아6단지
C1642,마동주공아파트
C1013,동천마을6단지
C2232,송화마을 휴먼시아1단지
C2232,장자울마을 휴먼시아5단지
C1973,광주송화마을휴먼시아2단지
C2458,송화마을 휴먼시아3단지
C2574,아름마을 휴먼시아2단지
C2133,송화마을 휴먼시아1단지
C2133,장자울마을 휴먼시아5단지
C2096,신용주공아파트
C2010,광주연제
C1879,광주용두2
C1131,용봉주공아파트
C1468,죽림마을
C1213,삼학주공
C1173,상리 주공 2단지 아파트
C2492,김천덕곡주공아파트
C2032,율곡마을 주공2단지 아파트
C2094,김해 월산마을 주공14단지아파트
C1880,김해월산마을 주공11단지
C2089,진영휴먼시아아파트
C1744,풍동 숲속마을 주공4단지
C1744,남양주장현 휴먼시아3단지
C1744,삼미마을 16단지
C1744,의왕내손주공아파트
C2046,남양주 진접 휴먼시아16단지
C2071,남양주 진접 휴먼시아17단지
C2635,남양주 퇴계원 주공3단지
C2635,휴먼시아 새뜰마을4단지
C2635,산내들마을 휴먼시아4단지
C2390,남양주 퇴계원 주공4단지
C2561,남양주호평 주공20단지
C1663,반석마을 8단지
C2490,달성용계주공아파트
C2066,대구서재휴먼시아
C1585,장기주공아파트
C2276,대전낭월 석천들마을
C1155,새들뫼 휴먼시아 2단지
C1693,봉산 휴먼시아 2단지
C1889,송내주공3단지
C2518,동해묵호주공아파트
C1962,동해천곡6차아파트
C1666,목포옥암주공1차아파트
C1988,목포 포미타운 주공3단지아파트
C1537,보령죽정주공
C1329,내리휴먼시아1단지
C1762,부안서외 주공아파트
C2008,여월휴먼시아2단지
C1319,사천용강 주공2단지아파트
C1141,사천진사 주공아파트
C2340,관악산휴먼시아 3단지
C1929,서천사곡휴먼시아
C1681,성남여수1
C1681,섬마을휴먼시아2단지아파트
C1681,능동마을 휴먼시아 7-3단지
C1184,섬마을휴먼시아4단지아파트
C2383,섬마을휴먼시아8단지아파트
C1579,섬마을휴먼시아9단지아파트
C2173,봇들마을 5단지
C2173,문산당동 휴먼시아 3단지
C1911,송정 휴먼시아2단지
C1638,순창경천 주공아파트
C2412,참샘마을휴먼시아
C1871,배들마을 선평주공2단지
C1309,연향주공아파트
C1527,안동옥동주공6단지
C2208,안산신길휴먼시아2단지아파트
C1940,안산신길 휴먼시아5단지
C2596,안산신길 휴먼시아7단지
C2227,안산신길 휴먼시아9단지
C2227,서정마을 휴먼시아2단지
C2563,안산팔곡주공아파트
C2563,호평마을23단지
C2358,양산물금 휴먼시아 7단지아파트
C1492,양주가납 주공아파트
C1601,남양주 퇴계원 주공3단지
C1601,휴먼시아 새뜰마을4단지
C1601,산내들마을 휴먼시아4단지
C1687,은빛마을 휴먼시아7단지
C1236,은빛마을 휴먼시아8단지
C1487,행복한마을 덕정주공8단지
C1379,휴먼시아
C1386,여수무선 주공3단지
C1656,영광도동휴먼시아
C2526,예천대심주공아파트
C1022,밤꽃마을 주공2단지
C1022,평택고덕 A-2블록 국민·영구임대주택
C1022,물푸레마을2단지아파트
C1896,물푸레마을5단지아파트
C1269,군포부곡 휴먼시아1단지
C1269,백현마을주공7단지아파트
C1916,초당마을주공3단지아파트
C2070,광명소하 휴먼시아4단지
C2070,호수마을주공3단지아파트
C1967,한보라마을4단지휴먼시아아파트
C2021,한보라마을7단지휴먼시아아파트
C1143,녹원마을새천년그린빌주공3단지아파트
C2188,내대지마을주공2단지아파트
C2651,내대지마을주공5단지아파트
C1036,흥덕마을휴먼시아1단지아파트(101동~109동)
C2657,신원마을 3단지
C2657,흥덕마을 휴먼시아 3단지 아파트
C2527,흥덕마을 휴먼시아 4단지 아파트
C1502,울산구영 주공2단지
C2262,울산매곡휴먼시아
C1084,울진읍내휴먼시아
C2530,원주개운LH2단지아파트
C2530,강릉회산주공아파트
C1046,원주개운LH3단지아파트
C1761,원주무실 주공7단지
C1102,원주봉화산주공아파트
C2420,율하휴먼시아 15단지
C1122,율하휴먼시아 6단지
C2042,율하휴먼시아 7단지
C1375,율현마을 주공 12단지 아파트
C1410,음성금왕 3단지주공아파트
C1641,의령서동 주공아파트
C1706,장안마을주공아파트
C1307,시흥능곡휴먼시아5아파트
C1307,청계마을 휴먼시아3단지
C2601,청계마을 휴먼시아6단지
C1085,동두천생연 휴먼시아3단지
C1085,이천갈산주공아파트
C2385,갈산휴먼시아3단지아파트
C1059,송백마을 익산부송주공
C2162,임실이도주공아파트
C1819,영천주공아파트
C2325,정읍첨단1 주거행복복지센터
C2325,장수북동 휴먼시아
C2394,장항원수휴먼시아
C1133,전주효자 휴먼시아5단지
C1281,전주효자 휴먼시아6단지
C1194,정든마을 LH3단지
C2308,고한주공아파트
C2036,봉양주공1차아파트
C1394,정읍농소주공아파트
C1180,정읍신태인주공아파트
C2503,제주도련 LH아파트
C1907,제주한림 LH아파트
C2181,제천강저 휴먼시아1단지
C1768,제천장락 3주공아파트
C1783,죽곡휴먼시아1단지
C2192,증평송산 휴먼시아2단지
C2346,장동주공아파트
C2680,진주가좌 주공3단지아파트
C2631,진해자은 주공3단지아파트
C2141,도계휴먼시아아파트
C1569,송정주공아파트
C2099,동송 주공아파트
C2287,청원내수 주공아파트
C2055,가로수마을휴먼시아아파트
C1428,춘천거두 주공아파트
C2522,춘천만천엘에이치아파트
C2560,퇴계8단지 주공아파트
C2068,퇴계9단지 주공아파트
C2603,충주연수주공6단지아파트
C1965,충주연수 주공7단지
C1965,휴먼시아2단지 아파트
C1660,죽림주공아파트
C2378,평택안중1
C2378,양곡2휴먼시아
C1268,반지마을 주공3단지
C1994,도항가야 주공2단지아파트
C1837,함양교산 휴먼시아
C1000,음성감곡휴먼시아
C1465,성화휴먼시아4단지
C1448,신완마을 휴먼시아 6단지
C1516,영천주공2차아파트
C2670,익산배산 휴먼시아5단지
C1365,광명신촌 휴먼시아2단지
C1177,도안마을1단지
C1360,경주건천휴먼시아
C2488,신완마을 휴먼시아7단지
C1406,도안 휴먼시아 10단지
C1566,영암용앙휴먼시아2단지
C1227,봉림휴먼시아1단지아파트
C2460,동편마을1단지
C2486,봉림휴먼시아2단지아파트
C2106,증평송산 1휴먼시아
C1572,양산소주 휴먼시아 아파트
C1773,포일숲속마을2단지
C1677,LH 별빛마을 3단지
C1823,청주율량2 LH 1단지
C2692,경주외동아파트
C2505,영양동부아파트
C2587,영천망정휴먼시아5단지
C2127,창원자은3 LH천년나무
C2127,양산가촌 휴먼시아아파트
C1316,서천종천휴먼시아
C1674,장흥건산휴먼시아2단지
C1713,함안칠원 휴먼시아아파트
C1845,포남엘에이치 1단지
C2082,동편마을2단지
C2082,소망마을
C1328,평택소사벌2
C2357,부산범천아파트
C2565,포항장량휴먼시아5단지
C1804,(NHF제15호)화성남양뉴타운(1단지 루나포레)
C1397,서울강남 5블록
C1343,LH호평1단지
C1987,괘법LH아파트
C2479,LH 별가람마을 1-3단지
C2352,방화11단지
C1310,춘천장학LH아파트
C1738,밀양내이아파트
C1863,청주율량2 LH 2단지
C1426,영주가흥4단지아파트
C2489,부산정관 5단지(A-19BL)
C2211,해남해리아파트
C1861,전북혁신 엘에이치 10단지
C2389,음성금석아파트
C1788,거제하청 10년 공공임대
C2085,강남 A5BL (LH강남힐스테이트)
C1089,"보성회정(전남,주1) 1단지"
C2237,성주자연숲빌리지
C1338,"부산감전(06,주6) 1단지"
C2274,청주율량2 LH9단지
C1699,별빛마을 3-5단지
C2251,별사랑마을 2-10단지
C1340,전북혁신 9단지
C2373,제주삼화 LH아파트 3단지
C1455,속초조양 LH천년나무3단지
C1095,율정마을
C2137,포항장량 천년나무 6단지
C1985,광주전남혁신(A-3BL) 5단지
C2663,별사랑마을 2-7단지
C2450,별사랑마을 2-9단지
C2329,대구신서 LH천년나무 6단지(A-2)
C1834,태백소도
C1649,양산신도시LH아파트5단지
C1848,광주효천2 천년나무 6단지
C1743,대구옥포LH천년나무3단지
C1402,충주안림 LH천년나무1단지
C1103,강원혁신A-1블 푸른숨 10단지 국민임대
C1129,구리갈매 이스트힐
C1027,양산신도시  LH 2단지
C2377,양산신도시 LH 1단지
C2431,양산신도시 LH 5단지
C2661,서귀포남원 LH아파트
C1263,제천강저4단지
C1136,배꽃마을 4단지
C2605,강릉회산2
C1673,"증평송산(국민,2) 3단지"
C1017,대전도안서남부(01.택) 11단지
C1933,광주선운3(공임리츠)
C2316,LH 천년나무 2단지
C2051,새뜸마을 7단지 아파트
C2414,천년나무4단지
C1301,대구신서혁신 LH천년나무 13단지(A-5)
C1700,대구테크노폴리스 4단지(10년공임)
C1636,평택소사벌 B-2BL(공임리츠)
C1757,부산전포아파트
C1163,상주함창 A-1BL 국민임대
C2040,충주안림 LH천년나무 2단지
C2609,서귀포강정LH아파트
C2001,안성아양1단지
C1065,경북김천혁신 Aa-1BL 국민임대주택
C2579,남양주미리내마을4-2단지
C1048,미리내마을4-3단지
C1210,대구신서혁신 LH천년나무10단지(A-3)
C1320,김해진영 휴먼시아 6단지
C1941,혁신도시 엔에이치에프 10단지
C1326,부산정관 7단지(A-1BL)
C1685,충주첨단 행복주택
C2143,강릉미디어촌7
C2453,포일숲속마을 휴먼시아
C1659,효천LH천년나무7단지
C1802,해들마을 5단지
C1939,위례A2-1BL
C1284,NHF 창원대산1
C2595,센트럴빌리지(리츠9호)
C2351,군포송정 A2블록
C2506,수목원호정포레스트
C1697,양주옥정 A-21(1)(공임리츠)
C2259,양주옥정 A-21(2)(공임리츠)
C1786,춘천거두2 행복주택
C1357,부산명지 B8블록
C2570,목포용해2 6-1BL
C1652,서울오류 행복주택
C1565,대구테크노폴리스 LH천년나무3단지
C1979,부천옥길 행복주택(A4BL)
C1803,울산남구(행복)
C2086,가온마을9단지
C1544,옥포르상트레빌
C2154,양양물치
C2496,전주효천 A3블록
C1756,울산송정하우스디
C2059,부천중동1 행복주택
C1045,원주태장LH 천년나무 6단지
C1207,광주첨단H-1(창업지원)
C1207,광주첨단H-2
C2153,고흥남계 LH1단지
C1176,청주동남A-1블록(국민임대)
C2446,오봉산마을
C2586,서귀포서홍행복주택
C2035,춘천우두 국민임대 3단지
C2437,제천청전(공공실버)
C2532,평창하진부주공아파트
C1925,입암주공3단지아파트
C1874,공주옥룡주공1차아파트
C2416,김해구산주공1단지아파트
C2013,젤미마을 주공2단지
C1424,구봉마을8-2단지
C2621,대전둔산3
C2520,대전문화주공1단지
C2319,대전반석마을4단지
C1616,법동 주공아파트3단지
C1704,대전산내주공아파트
C2258,중촌주공2단지
C2038,대전판암3
C1859,대전판암4
C1859,대전판암3
C1859,중촌주공2단지
C1859,대전둔산1
C1859,대전둔산3
C1859,법동 주공아파트3단지
C1722,동해천곡 주공5차
C1850,삼계 주공2단지아파트
C2190,중리주공1단지아파트
C1476,밀양가곡1
C1068,보령동대 휴먼시아4단지
C1068,상리 주공 2단지 아파트
C1983,명천주공2단지
C2135,부산금곡주공1단지
C2034,부산금곡주공2단지
C1109,덕천주공2단지
C2289,동삼주공2단지
C2597,동삼주공2단지
C2597,동삼주공1단지
C2597,부산금곡주공4단지
C2597,주공아파트
C2310,덕천주공2단지
C2132,모라주공3단지
C1439,동삼주공1단지
C1439,모라주공3단지
C1056,동홍 주공3단지
C1775,제주아라주공아파트
C1790,진주가좌주공아파트
C2109,진주평거 주공2단지
C1698,진해자은주공아파트
C1004,주공6단지2차아파트
C1875,쌍용주공7단지1차아파트
C2156,청양읍내2휴먼시아
C2212,석사주공3단지아파트
C2571,통영도남주공아파트
C1344,엘에이치 서초4단지
C2255,논산내동2휴먼시아
C2352,강남LH3단지
C1039,엘에이치 서초 3단지
C2659,삼성마을LH1단지
C2314,대전노은(3)지구 1단지
C1490,천년나무7단지
C1024,서울강남 A7BL (LH강남아이파크)
C1740,경북혁신도시 Ab9블록
C1740,경북혁신 Ab-8블록 보금자리주택 공공임대
C2620,빛가람LH3
C1286,빛가람1단지
C2085,강남 A5BL (LH강남힐스테이트)
C1341,LH 천년나무 1단지
C2405,경남혁신도시 5단지
C1969,대구옥포 천년나무2단지
C2583,"대전관저5(05,국민,GB) 1단지"
C1350,관저 LH다온숲 3단지
C2393,"구리갈매(09,보금4) 1단지"
C2539,"부여규암(07,주1) 1단지"
C2612,가재마을 1단지
C2507,부천옥길 LH 1단지
C2627,"담양백동2(07,국민+영구)"
C1363,위례35단지 아파트
C2618,옥정천년나무8단지
C1451,옥정천년나무16단지
C1968,원주태장5 국민임대주택
C2470,이스트시티
C1258,창원자은3 LH천년나무
C2453,성남여수1
C1724,혁신도시 LH아파트 3단지
C1910,익산인화 행복주택
C2359,순천선평3(국민+영구)
C2139,하동읍내 LH천년나무
C2508,전주반월(2)지구 국민임대
C2531,제주봉개LH아파트
C1695,여수수정
C2556,웅촌
C2362,양주옥정3단지
C2568,김천삼락 1블록 행복주택
C2549,서귀포혁신도시 LH3단지
C2298,대전봉산 A3BL 행복주택
C1218,성남고등 A-1 행복주택리츠
C2328,청주동남A-4블록(공임리츠)
C1970,광주첨단H-3
C1970,광주첨단H-2
C1732,광주효천1 A-3BL
C2433,양주고읍 LH13단지아파트
C1894,평택고덕 Ca1블록 행복주택
C1894,평택고덕 Ca2블록 행복주택
C2142,울산송정2
C2186,대구연경 LH천년나무 2단지
C1616,법동 주공아파트3단지
C1344,엘에이치 서초4단지
C2352,강남LH3단지
C1039,엘에이치 서초 3단지
C1341,LH 천년나무 1단지
C2393,"구리갈매(09,보금4) 1단지"
C2627,"담양백동2(07,국민+영구)"
C1451,옥정천년나무16단지
C1258,창원자은3 LH천년나무
C2225,김해율하2 A3블록
C1732,광주효천1 A-3BL
C2186,대구연경 LH천년나무 2단지
